buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Чай черный байховый,2018,43.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2019,43.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2020,41.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2021,41.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2022,40.7,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2023,44.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2024,41.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2025,46.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2017,2505.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2018,2549.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2019,2613.7,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2020,2622.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2021,2830.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2022,2635.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2023,2929.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2024,3245.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Соль поваренная пищевая6),2025,3357.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Мука пшеничная,2017,968.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2018,1032.0,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2019,976.0,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2020,916.9,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2021,910.7,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2022,899.3,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2023,1079.4,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2024,1239.0,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Мука пшеничная,2025,1360.6,"Продукты питания, кг в месяц",G01,"Хлеб, крупы, мука и макаронные изделия"
Печенье,2017,213.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2018,222.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2019,225.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2020,220.6,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2021,222.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2022,201.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2023,209.0,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2024,234.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Печенье,2025,248.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Карамель,2017,146.5,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2018,155.2,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2019,164.0,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2020,165.3,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2021,173.8,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2022,168.2,"Продукты питания, кг в месяц",G99,Прочее
Карамель,2023,177.5,"Продукты питания, кг в месяц",G99,Прочее
