product_code,product_name,group_code,group_name,forecast_year,period,period_end,actual_target_demand_index,forecast_target_demand_index,raw_forecast_target_demand_index,selected_model,order,seasonal_order,calibration_type,calibration_multiplier,calibration_additive
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,133.490202,112.90811147033862,113.34723740299737,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",additive,0.9968080289919563,-0.4391259326587367
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,155.856136,119.77093744417213,120.21006337683087,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",additive,0.9968080289919563,-0.4391259326587367
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,198.713897,166.64854729506817,167.0876732277269,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",additive,0.9968080289919563,-0.4391259326587367
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,172.663824,164.09452666054446,164.5336525932032,sarimax,"(1, 1, 1)","(1, 0, 1, 4)",additive,0.9968080289919563,-0.4391259326587367
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q1,2025-03-31,120.65094,146.25951461005758,146.25951461005758,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",none,1.0274901028751147,4.0386517852099075
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q2,2025-06-30,107.642837,138.00100429020878,138.00100429020878,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",none,1.0274901028751147,4.0386517852099075
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q3,2025-09-30,123.269423,145.69863039168038,145.69863039168038,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",none,1.0274901028751147,4.0386517852099075
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q4,2025-12-31,146.997427,177.3498241471006,177.3498241471006,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",none,1.0274901028751147,4.0386517852099075
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q1,2025-03-31,90.845517,95.983564,95.983564,seasonal_naive,None,None,none,0.9945576992615409,-0.5535537499999954
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q2,2025-06-30,81.935456,85.535858,85.535858,seasonal_naive,None,None,none,0.9945576992615409,-0.5535537499999954
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q3,2025-09-30,113.144637,120.620873,120.620873,seasonal_naive,None,None,none,0.9945576992615409,-0.5535537499999954
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q4,2025-12-31,99.476289,102.498236,102.498236,seasonal_naive,None,None,none,0.9945576992615409,-0.5535537499999954
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,126.734882,122.56778125,120.731663,seasonal_naive,None,None,additive,1.015002587973813,1.8361182500000055
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,116.898798,110.04177625,108.205658,seasonal_naive,None,None,additive,1.015002587973813,1.8361182500000055
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,143.770347,132.65535025,130.819232,seasonal_naive,None,None,additive,1.015002587973813,1.8361182500000055
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,162.427709,138.97110925,137.134991,seasonal_naive,None,None,additive,1.015002587973813,1.8361182500000055
