product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill
Мясо домашней птицы,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,85.6569902795247,73.46221449456138,97.85176606448803,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо домашней птицы,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,95.80470356700133,78.64495884181952,112.96444829218314,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо домашней птицы,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,87.58735287698568,66.53743307528391,108.63727267868744,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо домашней птицы,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,135.49153696923747,111.22386952011513,159.75920441835981,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо животных,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,95.78712625643956,91.54554879729758,100.02870371558154,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо животных,2025Q2,2025-06-30,2017Q1,2024Q4,99.145193,96.09140336842219,89.92017738755375,102.26262934929063,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо животных,2025Q3,2025-09-30,2017Q1,2024Q4,101.458127,94.98696811423325,87.49492170751672,102.47901452094978,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мясо животных,2025Q4,2025-12-31,2017Q1,2024Q4,114.806348,101.48191802726647,92.76776477002032,110.19607128451263,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Свежие овощи,2025Q1,2025-03-31,2017Q1,2024Q4,134.500103,130.42795998221462,117.07008590006339,143.78583406436584,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Свежие овощи,2025Q2,2025-06-30,2017Q1,2024Q4,121.298853,111.87922233316985,98.51957566618013,125.23886900015957,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
