feature_mode,product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,-5.904200642046399,5.180647395779207,1.3322676295501878e-15,12.016369064477619,21.428818967827105,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,group_consumer_price_index_mean,-2.7686357529705803,2.54046925854641,-8.881784197001252e-16,4.484648992486321,10.508195535383065,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,group_income_index_mean,5.33549912572721,4.263131923056559,-1.887379141862766e-15,16.56763957761758,17.633680742212206,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,group_stock_days_mean_mean,0.12714240658880405,0.10378903949421409,2.6020852139652106e-16,0.3196421507508386,0.4293047505951047,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,-5.904200632322653,5.180647387247095,1.3322676295501878e-15,12.016369044687622,21.428818932535552,179.55010334859887,195.39548907188546
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,0.46750808902059976,0.41159662937649344,-2.7755575615628914e-16,1.0668829738927408,5.790926887086253,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,0.7569621567153163,0.6048224278171863,-2.7755575615628914e-16,2.350497280729313,8.509502287385247,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,-0.07152541504303642,0.0583877112752046,-1.457167719820518e-16,0.17981834787541126,0.8214813799889725,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,-2.825227910859335,2.478999361004629,7.216449660063518e-16,5.74997079645012,34.878089440280554,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_consumer_price_index_mean,0.4675080692809509,0.41159661199760067,-2.636779683484747e-16,1.0668829288456159,5.7909266425752675,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_income_index_mean,0.7569621712295417,0.6048224394142377,-2.7755575615628914e-16,2.350497325798471,8.509502450549064,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_days_mean_mean,-0.07152541207885726,0.05838770885548237,-1.4311468676808659e-16,0.1798183404233217,0.8214813459448781,193.41036935006932,209.2557550733559
full_exog,Молоко питьевое,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,-2.82522792105835,2.4789993699537662,6.106226635438361e-16,5.749970817207398,34.87808956618975,193.41036935006932,209.2557550733559
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,consumer_price_index,4.276933399476397,3.7654351071873444,-2.4424906541753444e-15,9.760232029212034,17.13338264916124,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,income_index,-5.593514167935341,4.4692892360176675,2.220446049250313e-15,17.368820521363958,20.33604098084337,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_days_mean,-2.450096037119292,2.000065290439329,-4.9404924595819466e-15,6.159659769409149,9.100643874858811,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,0.8590821831808578,0.7538026135767714,-1.942890293094024e-16,1.748424417744784,3.429932598146903,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_consumer_price_index_mean,4.276933388389638,3.7654350974265025,-2.3314683517128287e-15,9.76023200391135,17.133382604747716,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_income_index_mean,-5.593514167653058,4.46928923579212,2.220446049250313e-15,17.36882052048742,20.336040979817092,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_days_mean_mean,-2.450096020325047,2.000065276729831,-4.9960036108132044e-15,6.159659727187606,9.100643812478216,245.95240010200519,261.7977858252918
full_exog,Молочные напитки,G02,Молочная продукция и яйца,2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,0.859082158585011,0.7538025919951183,-2.220446049250313e-16,1.7484243676867337,3.429932499946639,245.95240010200519,261.7977858252918
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,consumer_price_index,-5.314977514372552,4.757227175740083,-6.217248937900877e-15,7.979956678175288,14.585750708594109,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,income_index,1.9270680488770735,1.5397519751163757,-7.216449660063518e-16,5.983876695132351,4.720909393741321,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_days_mean,1.8047127339865647,1.4732252302666167,3.608224830031759e-15,4.537134975307988,4.5169371048455575,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,9.729984361313289,8.537585559581998,-2.4424906541753444e-15,19.802694753376777,26.176402771007723,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_consumer_price_index_mean,-5.314977495603687,4.757227158940809,-6.217248937900877e-15,7.979956649995539,14.585750657087207,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_income_index_mean,1.9270680529339046,1.5397519783578355,-7.494005416219807e-16,5.983876707729507,4.720909403679699,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_stock_days_mean_mean,1.8047127380144858,1.473225233554694,3.6914915568786455e-15,4.537134985434377,4.516937114926867,177.72118685375136,193.56657257703796
full_exog,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,9.72998438923222,8.537585584079496,-1.9984014443252818e-15,19.802694810198048,26.176402846117526,177.72118685375136,193.56657257703796
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,consumer_price_index,-23.64795409606058,20.690546334148507,-6.661338147750939e-15,49.70353736298502,25.53029139102393,187.37989342591823,203.22527914920482
full_exog,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2017Q1,2024Q4,32,income_index,11.18517974251389,8.93710142234113,-4.440892098500626e-15,34.7319008434065,11.02758718008948,187.37989342591823,203.22527914920482
